Name,Skills,Research,Preferred Role
Graduate_1,"sql, bioinformatics, deep learning",Physics,Software Developer
Graduate_2,"c++, deep learning, pytorch, tensorflow, machine learning, java",Physics,Machine Learning Engineer
Graduate_3,"machine learning, java, nlp, cv, scikit-learn, pytorch",Machine Learning,Postdoc
Graduate_4,"scikit-learn, tensorflow, nlp",AI & NLP,Other
Graduate_5,"statistics, tensorflow, sql, data mining",Other,Data Scientist
Graduate_6,"cv, deep learning, sql",Machine Learning,AI Researcher
Graduate_7,"tensorflow, pytorch, bioinformatics, deep learning, python, c++",Cybersecurity,Other
Graduate_8,"sql, pytorch, tensorflow",Physics,Machine Learning Engineer
Graduate_9,"python, sql, c++, nlp",Physics,Research Scientist
Graduate_10,"machine learning, c++, data mining, java",Chemistry,Other
Graduate_11,"deep learning, tensorflow, pytorch",Biology,Postdoc
Graduate_12,"tensorflow, c++, sql, nlp, bioinformatics, deep learning",Other,Software Developer
Graduate_13,"tensorflow, statistics, bioinformatics, nlp, cv",Mathematics,Research Scientist
Graduate_14,"pytorch, sql, deep learning, python, cv",Environmental Science,Research Scientist
Graduate_15,"machine learning, data mining, tensorflow, scikit-learn, cv, python",AI & NLP,Software Developer
Graduate_16,"machine learning, statistics, pytorch, c++, python",Cybersecurity,Research Scientist
Graduate_17,"scikit-learn, java, bioinformatics, sql, cv, deep learning",Chemistry,Other
Graduate_18,"python, sql, c++, tensorflow",AI & NLP,Software Developer
Graduate_19,"c++, python, pytorch, bioinformatics, java",Mathematics,Research Scientist
Graduate_20,"pytorch, deep learning, java, data mining, scikit-learn, bioinformatics",AI & NLP,Data Scientist
Graduate_21,"nlp, deep learning, c++, bioinformatics, tensorflow",Biology,Machine Learning Engineer
Graduate_22,"data mining, tensorflow, bioinformatics, machine learning, pytorch, sql",AI & NLP,Postdoc
Graduate_23,"java, tensorflow, pytorch, nlp",Biology,Software Developer
Graduate_24,"sql, java, data mining, tensorflow",Other,Machine Learning Engineer
Graduate_25,"tensorflow, nlp, statistics, bioinformatics, python, machine learning",Physics,Other
Graduate_26,"c++, bioinformatics, statistics, java, deep learning, python",Environmental Science,Software Developer
Graduate_27,"tensorflow, machine learning, scikit-learn, java, bioinformatics, sql",Environmental Science,Other
Graduate_28,"pytorch, statistics, sql, python, tensorflow",Mathematics,Data Scientist
Graduate_29,"statistics, machine learning, cv, pytorch",Robotics,Software Developer
Graduate_30,"data mining, nlp, cv, python",Other,AI Researcher
Graduate_31,"tensorflow, java, bioinformatics, nlp, python",Cybersecurity,Research Scientist
Graduate_32,"python, pytorch, data mining, c++",Cybersecurity,AI Researcher
Graduate_33,"java, nlp, deep learning, tensorflow",AI & NLP,Research Scientist
Graduate_34,"python, sql, statistics, bioinformatics, deep learning",Environmental Science,Data Scientist
Graduate_35,"c++, scikit-learn, python",Mathematics,AI Researcher
Graduate_36,"statistics, machine learning, bioinformatics",Environmental Science,Software Developer
Graduate_37,"machine learning, python, tensorflow, bioinformatics",AI & NLP,Postdoc
Graduate_38,"tensorflow, bioinformatics, nlp",Chemistry,Machine Learning Engineer
Graduate_39,"statistics, deep learning, nlp, scikit-learn",Other,Research Scientist
Graduate_40,"cv, tensorflow, scikit-learn, deep learning",AI & NLP,AI Researcher
Graduate_41,"nlp, deep learning, python, sql, statistics",AI & NLP,Data Scientist
Graduate_42,"python, statistics, c++, tensorflow, sql",Environmental Science,Machine Learning Engineer
Graduate_43,"c++, tensorflow, machine learning, pytorch, statistics",Other,Software Developer
Graduate_44,"java, tensorflow, python",Machine Learning,Research Scientist
Graduate_45,"tensorflow, java, bioinformatics, data mining, nlp",Cybersecurity,Other
Graduate_46,"tensorflow, deep learning, bioinformatics",Cybersecurity,Machine Learning Engineer
Graduate_47,"statistics, java, scikit-learn, deep learning, nlp",Machine Learning,Machine Learning Engineer
Graduate_48,"pytorch, sql, bioinformatics",Biology,Research Scientist
Graduate_49,"scikit-learn, machine learning, deep learning, tensorflow, java",Mathematics,Other
Graduate_50,"cv, data mining, scikit-learn, java",Machine Learning,Other
Graduate_51,"scikit-learn, bioinformatics, python, statistics, cv",Machine Learning,Machine Learning Engineer
Graduate_52,"cv, java, data mining, c++, statistics",Robotics,Software Developer
Graduate_53,"statistics, deep learning, sql, cv, python",Chemistry,Machine Learning Engineer
Graduate_54,"tensorflow, statistics, deep learning, nlp, java",Chemistry,Software Developer
Graduate_55,"bioinformatics, scikit-learn, c++, statistics, cv, nlp",Other,AI Researcher
Graduate_56,"cv, data mining, statistics, scikit-learn, bioinformatics, java",Other,AI Researcher
Graduate_57,"c++, python, data mining, cv",Mathematics,Software Developer
Graduate_58,"java, python, c++, data mining, tensorflow",Physics,Other
Graduate_59,"c++, scikit-learn, statistics, data mining, bioinformatics, sql",AI & NLP,Data Scientist
Graduate_60,"sql, machine learning, bioinformatics, pytorch, c++",Chemistry,Data Scientist
Graduate_61,"pytorch, sql, python, nlp, tensorflow, machine learning",Chemistry,Postdoc
Graduate_62,"deep learning, statistics, tensorflow, data mining, java, scikit-learn",Robotics,Other
Graduate_63,"python, machine learning, deep learning, nlp, c++",Cybersecurity,Other
Graduate_64,"pytorch, deep learning, scikit-learn, python, tensorflow, statistics",Other,AI Researcher
Graduate_65,"cv, deep learning, data mining",Cybersecurity,Research Scientist
Graduate_66,"nlp, cv, deep learning, sql",Other,Software Developer
Graduate_67,"pytorch, cv, bioinformatics",Machine Learning,AI Researcher
Graduate_68,"nlp, data mining, c++, scikit-learn, cv, sql",Machine Learning,Machine Learning Engineer
Graduate_69,"nlp, data mining, java, scikit-learn, cv",Machine Learning,Postdoc
Graduate_70,"nlp, python, java",Cybersecurity,Postdoc
Graduate_71,"c++, deep learning, data mining, bioinformatics",Mathematics,Software Developer
Graduate_72,"c++, sql, bioinformatics",Other,Machine Learning Engineer
Graduate_73,"pytorch, tensorflow, python, statistics, machine learning",Other,Software Developer
Graduate_74,"data mining, c++, deep learning",Biology,Postdoc
Graduate_75,"nlp, cv, c++, deep learning, sql, data mining",Cybersecurity,Software Developer
Graduate_76,"python, pytorch, cv, statistics",Other,Machine Learning Engineer
Graduate_77,"tensorflow, nlp, deep learning",Machine Learning,Machine Learning Engineer
Graduate_78,"machine learning, nlp, c++, tensorflow, cv",Robotics,AI Researcher
Graduate_79,"deep learning, pytorch, c++",Robotics,Machine Learning Engineer
Graduate_80,"data mining, pytorch, nlp, machine learning",Other,AI Researcher
Graduate_81,"deep learning, java, c++, pytorch, data mining",Physics,Postdoc
Graduate_82,"deep learning, pytorch, python, c++, java",Cybersecurity,Postdoc
Graduate_83,"cv, python, machine learning, java, c++",AI & NLP,Research Scientist
Graduate_84,"c++, nlp, data mining, machine learning",Biology,AI Researcher
Graduate_85,"deep learning, python, cv, machine learning, nlp, sql",AI & NLP,Software Developer
Graduate_86,"bioinformatics, scikit-learn, deep learning, cv",AI & NLP,Postdoc
Graduate_87,"data mining, machine learning, sql, pytorch",Chemistry,Software Developer
Graduate_88,"java, python, sql, machine learning, data mining",Physics,Data Scientist
Graduate_89,"bioinformatics, sql, c++, pytorch, data mining, java",Physics,Postdoc
Graduate_90,"scikit-learn, machine learning, data mining",Other,Machine Learning Engineer
Graduate_91,"java, python, c++, data mining, deep learning, scikit-learn",Biology,Machine Learning Engineer
Graduate_92,"sql, pytorch, bioinformatics",Robotics,Data Scientist
Graduate_93,"scikit-learn, tensorflow, c++, sql, data mining, cv",Cybersecurity,Machine Learning Engineer
Graduate_94,"nlp, statistics, python",Biology,Other
Graduate_95,"scikit-learn, statistics, data mining, machine learning",Cybersecurity,Software Developer
Graduate_96,"pytorch, scikit-learn, deep learning, nlp",Cybersecurity,Machine Learning Engineer
Graduate_97,"deep learning, statistics, bioinformatics, tensorflow, pytorch, c++",Mathematics,Data Scientist
Graduate_98,"java, deep learning, sql, c++, data mining",Mathematics,AI Researcher
Graduate_99,"java, c++, cv",Physics,Other
Graduate_100,"python, pytorch, java, sql, bioinformatics",Cybersecurity,Data Scientist
Graduate_101,"bioinformatics, c++, data mining, nlp",Cybersecurity,AI Researcher
Graduate_102,"deep learning, scikit-learn, python, c++, statistics, pytorch",AI & NLP,Postdoc
Graduate_103,"cv, bioinformatics, python, scikit-learn, statistics, machine learning",Cybersecurity,AI Researcher
Graduate_104,"c++, java, tensorflow, sql, pytorch",Robotics,Other
Graduate_105,"pytorch, cv, python, bioinformatics",Other,AI Researcher
Graduate_106,"data mining, tensorflow, python, c++",Environmental Science,Machine Learning Engineer
Graduate_107,"tensorflow, deep learning, cv, statistics, scikit-learn, python",Environmental Science,Data Scientist
Graduate_108,"machine learning, sql, cv",Mathematics,Data Scientist
Graduate_109,"pytorch, tensorflow, machine learning",Machine Learning,Research Scientist
Graduate_110,"java, c++, nlp",Environmental Science,AI Researcher
Graduate_111,"pytorch, python, java, deep learning",AI & NLP,Data Scientist
Graduate_112,"tensorflow, c++, python, bioinformatics, java",Robotics,Postdoc
Graduate_113,"machine learning, cv, c++, pytorch, sql, java",Chemistry,AI Researcher
Graduate_114,"tensorflow, bioinformatics, cv, c++, pytorch, statistics",Environmental Science,Postdoc
Graduate_115,"c++, sql, tensorflow, statistics",AI & NLP,Postdoc
Graduate_116,"python, cv, nlp, c++, scikit-learn, statistics",Chemistry,Machine Learning Engineer
Graduate_117,"machine learning, bioinformatics, data mining, c++, java, scikit-learn",Chemistry,Software Developer
Graduate_118,"data mining, sql, statistics, java, tensorflow",Physics,Data Scientist
Graduate_119,"pytorch, machine learning, python",Robotics,Machine Learning Engineer
Graduate_120,"bioinformatics, python, machine learning, sql, scikit-learn, tensorflow",Cybersecurity,Data Scientist
Graduate_121,"deep learning, data mining, cv, c++, pytorch, tensorflow",Environmental Science,Research Scientist
Graduate_122,"scikit-learn, java, data mining",Machine Learning,Postdoc
Graduate_123,"java, scikit-learn, c++, data mining",Environmental Science,Software Developer
Graduate_124,"scikit-learn, pytorch, c++, deep learning, bioinformatics, java",Physics,Software Developer
Graduate_125,"statistics, c++, machine learning, python",Robotics,Research Scientist
Graduate_126,"cv, pytorch, scikit-learn, nlp, data mining, sql",Robotics,Research Scientist
Graduate_127,"cv, statistics, machine learning, sql, data mining",Physics,Software Developer
Graduate_128,"python, deep learning, sql, scikit-learn, c++",Machine Learning,Software Developer
Graduate_129,"statistics, bioinformatics, nlp, scikit-learn",Robotics,Research Scientist
Graduate_130,"python, c++, sql, java",Physics,Other
Graduate_131,"deep learning, scikit-learn, python, nlp, tensorflow",Environmental Science,Software Developer
Graduate_132,"deep learning, c++, pytorch",Environmental Science,Research Scientist
Graduate_133,"data mining, cv, c++, nlp",Robotics,Data Scientist
Graduate_134,"scikit-learn, sql, nlp, pytorch, bioinformatics, deep learning",Physics,Software Developer
Graduate_135,"java, machine learning, deep learning",Cybersecurity,AI Researcher
Graduate_136,"bioinformatics, deep learning, machine learning, statistics, java",Machine Learning,Data Scientist
Graduate_137,"machine learning, cv, nlp, statistics",Physics,Software Developer
Graduate_138,"cv, deep learning, python, tensorflow",Physics,Machine Learning Engineer
Graduate_139,"tensorflow, data mining, bioinformatics, pytorch, deep learning",Biology,AI Researcher
Graduate_140,"nlp, pytorch, bioinformatics",Robotics,Other
Graduate_141,"statistics, pytorch, cv",Mathematics,Data Scientist
Graduate_142,"nlp, machine learning, deep learning, python, pytorch, data mining",Machine Learning,Data Scientist
Graduate_143,"pytorch, statistics, c++",Biology,Software Developer
Graduate_144,"machine learning, python, c++, bioinformatics, deep learning, data mining",Cybersecurity,Machine Learning Engineer
Graduate_145,"deep learning, java, statistics, bioinformatics, data mining",Mathematics,Software Developer
Graduate_146,"data mining, java, machine learning",Biology,Machine Learning Engineer
Graduate_147,"pytorch, scikit-learn, tensorflow, c++, machine learning, sql",Physics,Machine Learning Engineer
Graduate_148,"java, bioinformatics, statistics",Robotics,AI Researcher
Graduate_149,"tensorflow, deep learning, machine learning",AI & NLP,Postdoc
Graduate_150,"machine learning, cv, pytorch, sql, c++",Robotics,Postdoc
Graduate_151,"c++, deep learning, cv, java, scikit-learn",Machine Learning,Research Scientist
Graduate_152,"pytorch, sql, statistics",AI & NLP,Machine Learning Engineer
Graduate_153,"statistics, pytorch, cv, deep learning, java",Biology,Postdoc
Graduate_154,"data mining, cv, statistics, scikit-learn, python, pytorch",Environmental Science,Machine Learning Engineer
Graduate_155,"machine learning, cv, data mining",AI & NLP,Machine Learning Engineer
Graduate_156,"sql, statistics, scikit-learn, python, nlp, pytorch",Robotics,Postdoc
Graduate_157,"java, scikit-learn, data mining, python, sql, cv",Other,Machine Learning Engineer
Graduate_158,"sql, data mining, python, tensorflow, machine learning, statistics",Robotics,Postdoc
Graduate_159,"c++, data mining, tensorflow",Mathematics,Data Scientist
Graduate_160,"nlp, pytorch, scikit-learn, machine learning",Other,Other
Graduate_161,"bioinformatics, java, sql, c++, deep learning, scikit-learn",Other,Machine Learning Engineer
Graduate_162,"python, pytorch, data mining",Mathematics,Other
Graduate_163,"deep learning, scikit-learn, statistics",Environmental Science,Data Scientist
Graduate_164,"c++, machine learning, python",Chemistry,Postdoc
Graduate_165,"data mining, machine learning, c++, cv, statistics",Biology,AI Researcher
Graduate_166,"tensorflow, scikit-learn, pytorch, python",Machine Learning,Postdoc
Graduate_167,"python, cv, bioinformatics, machine learning, deep learning",Environmental Science,AI Researcher
Graduate_168,"cv, nlp, sql, c++",Biology,Postdoc
Graduate_169,"machine learning, python, nlp",Other,Software Developer
Graduate_170,"python, scikit-learn, java",Machine Learning,Research Scientist
Graduate_171,"python, c++, pytorch, cv, data mining, java",AI & NLP,Other
Graduate_172,"java, nlp, statistics, deep learning",Robotics,Machine Learning Engineer
Graduate_173,"deep learning, pytorch, nlp",Biology,AI Researcher
Graduate_174,"statistics, tensorflow, sql",Chemistry,AI Researcher
Graduate_175,"sql, deep learning, data mining",Environmental Science,Machine Learning Engineer
Graduate_176,"scikit-learn, tensorflow, deep learning, machine learning",Robotics,Research Scientist
Graduate_177,"python, sql, scikit-learn, java, bioinformatics",Biology,Postdoc
Graduate_178,"scikit-learn, deep learning, statistics, python, pytorch, java",Physics,Research Scientist
Graduate_179,"c++, data mining, python, machine learning, pytorch, sql",Chemistry,Research Scientist
Graduate_180,"sql, tensorflow, deep learning, nlp, cv",Biology,Research Scientist
Graduate_181,"sql, c++, nlp, bioinformatics, machine learning, cv",Chemistry,Research Scientist
Graduate_182,"machine learning, bioinformatics, nlp, cv",Robotics,AI Researcher
Graduate_183,"deep learning, sql, data mining",Physics,Data Scientist
Graduate_184,"python, bioinformatics, machine learning, tensorflow, c++",AI & NLP,Research Scientist
Graduate_185,"data mining, sql, python, java",Environmental Science,Machine Learning Engineer
Graduate_186,"python, scikit-learn, cv, pytorch, nlp, deep learning",Cybersecurity,Research Scientist
Graduate_187,"sql, statistics, java",AI & NLP,Postdoc
Graduate_188,"statistics, c++, deep learning, pytorch, python, sql",Other,Software Developer
Graduate_189,"bioinformatics, deep learning, scikit-learn, statistics",Other,Software Developer
Graduate_190,"sql, tensorflow, scikit-learn, pytorch, python",Physics,Postdoc
Graduate_191,"nlp, sql, cv, bioinformatics, c++",Mathematics,Machine Learning Engineer
Graduate_192,"bioinformatics, data mining, python",Biology,Data Scientist
Graduate_193,"python, cv, java",Other,Other
Graduate_194,"nlp, java, pytorch, bioinformatics, cv, python",Mathematics,Data Scientist
Graduate_195,"cv, deep learning, tensorflow, data mining, bioinformatics, pytorch",Cybersecurity,AI Researcher
Graduate_196,"scikit-learn, bioinformatics, data mining, sql",Biology,Research Scientist
Graduate_197,"c++, deep learning, cv, python, bioinformatics, sql",Cybersecurity,Research Scientist
Graduate_198,"python, c++, machine learning, java",Biology,Other
Graduate_199,"deep learning, nlp, sql, pytorch, scikit-learn",Chemistry,Other
Graduate_200,"c++, tensorflow, machine learning",Environmental Science,Data Scientist
Graduate_201,"cv, tensorflow, pytorch, scikit-learn",Mathematics,Machine Learning Engineer
Graduate_202,"cv, python, c++",Machine Learning,Postdoc
Graduate_203,"machine learning, c++, statistics, data mining, scikit-learn",Physics,AI Researcher
Graduate_204,"python, bioinformatics, pytorch, c++",Biology,Postdoc
Graduate_205,"sql, pytorch, cv, data mining, java",Physics,AI Researcher
Graduate_206,"tensorflow, bioinformatics, statistics, nlp, deep learning",AI & NLP,Machine Learning Engineer
Graduate_207,"tensorflow, cv, data mining",Biology,Research Scientist
Graduate_208,"statistics, data mining, cv, java",Physics,Other
Graduate_209,"python, java, tensorflow, deep learning, machine learning, data mining",Other,AI Researcher
Graduate_210,"tensorflow, java, deep learning, python, c++",Cybersecurity,Machine Learning Engineer
Graduate_211,"sql, machine learning, scikit-learn, statistics, tensorflow",AI & NLP,Other
Graduate_212,"data mining, deep learning, c++, statistics, nlp",Other,AI Researcher
Graduate_213,"tensorflow, sql, scikit-learn, c++",Cybersecurity,AI Researcher
Graduate_214,"c++, java, data mining, statistics, scikit-learn",Robotics,AI Researcher
Graduate_215,"tensorflow, machine learning, bioinformatics, scikit-learn, python",Environmental Science,AI Researcher
Graduate_216,"deep learning, machine learning, statistics, sql, bioinformatics",Robotics,Other
Graduate_217,"sql, bioinformatics, python, data mining",Robotics,Postdoc
Graduate_218,"scikit-learn, statistics, cv",Chemistry,Machine Learning Engineer
Graduate_219,"sql, deep learning, nlp",Mathematics,Data Scientist
Graduate_220,"deep learning, sql, bioinformatics",AI & NLP,Postdoc
Graduate_221,"sql, deep learning, c++",Environmental Science,AI Researcher
Graduate_222,"sql, scikit-learn, nlp, cv, pytorch",AI & NLP,Data Scientist
Graduate_223,"sql, cv, pytorch",Robotics,Other
Graduate_224,"sql, machine learning, java, nlp, scikit-learn, cv",Physics,Machine Learning Engineer
Graduate_225,"nlp, tensorflow, scikit-learn, python, pytorch, statistics",Mathematics,Data Scientist
Graduate_226,"data mining, statistics, c++, nlp",Chemistry,AI Researcher
Graduate_227,"python, c++, nlp, statistics, java, bioinformatics",AI & NLP,Machine Learning Engineer
Graduate_228,"data mining, scikit-learn, java, statistics",Environmental Science,Other
Graduate_229,"nlp, java, sql, machine learning, deep learning, statistics",Environmental Science,Data Scientist
Graduate_230,"tensorflow, c++, nlp, deep learning, cv, bioinformatics",Robotics,Data Scientist
Graduate_231,"c++, sql, nlp, cv, statistics, bioinformatics",Machine Learning,Other
Graduate_232,"scikit-learn, cv, tensorflow, statistics, deep learning",Environmental Science,Data Scientist
Graduate_233,"nlp, python, tensorflow, java, sql",Environmental Science,Postdoc
Graduate_234,"statistics, machine learning, deep learning, c++, data mining, tensorflow",Environmental Science,Other
Graduate_235,"pytorch, statistics, java, scikit-learn",AI & NLP,Other
Graduate_236,"sql, statistics, data mining, deep learning",Environmental Science,Data Scientist
Graduate_237,"scikit-learn, java, data mining, nlp, statistics, bioinformatics",Robotics,AI Researcher
Graduate_238,"tensorflow, deep learning, statistics",AI & NLP,Data Scientist
Graduate_239,"data mining, nlp, machine learning",Biology,AI Researcher
Graduate_240,"machine learning, c++, scikit-learn",Biology,Postdoc
Graduate_241,"data mining, statistics, pytorch, c++, bioinformatics",Machine Learning,Machine Learning Engineer
Graduate_242,"java, deep learning, tensorflow",Robotics,Research Scientist
Graduate_243,"c++, python, java, data mining, bioinformatics, tensorflow",Robotics,AI Researcher
Graduate_244,"bioinformatics, java, cv, nlp, sql",Other,Machine Learning Engineer
Graduate_245,"data mining, scikit-learn, pytorch, sql",AI & NLP,Machine Learning Engineer
Graduate_246,"pytorch, python, bioinformatics",Mathematics,Software Developer
Graduate_247,"data mining, statistics, java, tensorflow, pytorch",Mathematics,AI Researcher
Graduate_248,"pytorch, data mining, bioinformatics",Environmental Science,Machine Learning Engineer
Graduate_249,"scikit-learn, deep learning, machine learning, c++, java, nlp",Robotics,Other
Graduate_250,"nlp, statistics, pytorch, cv",Physics,AI Researcher
Graduate_251,"python, java, data mining, cv",Robotics,Other
Graduate_252,"nlp, machine learning, sql",Physics,Software Developer
Graduate_253,"scikit-learn, sql, nlp, pytorch",Chemistry,Other
Graduate_254,"data mining, tensorflow, deep learning",Chemistry,Software Developer
Graduate_255,"statistics, sql, pytorch",AI & NLP,Machine Learning Engineer
Graduate_256,"statistics, data mining, cv, tensorflow",Chemistry,Software Developer
Graduate_257,"deep learning, machine learning, pytorch, python, cv",Environmental Science,Research Scientist
Graduate_258,"python, c++, java, machine learning, statistics, sql",Mathematics,Data Scientist
Graduate_259,"tensorflow, statistics, sql, machine learning",Chemistry,Software Developer
Graduate_260,"python, data mining, nlp, deep learning, c++, statistics",AI & NLP,Postdoc
Graduate_261,"python, deep learning, machine learning, sql, java",Mathematics,AI Researcher
Graduate_262,"c++, scikit-learn, machine learning, bioinformatics, sql",Cybersecurity,Data Scientist
Graduate_263,"machine learning, scikit-learn, cv, python",Cybersecurity,Software Developer
Graduate_264,"c++, machine learning, data mining",AI & NLP,Postdoc
Graduate_265,"c++, sql, machine learning, java, bioinformatics, data mining",Other,Research Scientist
Graduate_266,"machine learning, scikit-learn, sql",Machine Learning,Other
Graduate_267,"java, scikit-learn, cv, bioinformatics, python, pytorch",Environmental Science,AI Researcher
Graduate_268,"pytorch, cv, python, java, c++",AI & NLP,Postdoc
Graduate_269,"data mining, python, pytorch",Robotics,Other
Graduate_270,"deep learning, statistics, machine learning",Chemistry,Machine Learning Engineer
Graduate_271,"bioinformatics, sql, tensorflow, c++, cv",Chemistry,Postdoc
Graduate_272,"pytorch, scikit-learn, python, deep learning, sql",Machine Learning,Software Developer
Graduate_273,"bioinformatics, scikit-learn, deep learning, pytorch",Biology,Data Scientist
Graduate_274,"deep learning, data mining, bioinformatics, cv, statistics, python",AI & NLP,AI Researcher
Graduate_275,"nlp, pytorch, java, machine learning, c++",Other,AI Researcher
Graduate_276,"nlp, sql, python",Machine Learning,Machine Learning Engineer
Graduate_277,"sql, c++, scikit-learn",Cybersecurity,Machine Learning Engineer
Graduate_278,"tensorflow, deep learning, nlp, java",Environmental Science,Other
Graduate_279,"deep learning, c++, bioinformatics",Other,AI Researcher
Graduate_280,"python, c++, data mining, bioinformatics, nlp",Biology,Data Scientist
Graduate_281,"java, data mining, python, scikit-learn, tensorflow",Chemistry,Postdoc
Graduate_282,"scikit-learn, cv, nlp, machine learning, python",Robotics,Research Scientist
Graduate_283,"deep learning, pytorch, nlp, c++, cv, sql",AI & NLP,Machine Learning Engineer
Graduate_284,"tensorflow, deep learning, scikit-learn, statistics",Chemistry,Software Developer
Graduate_285,"scikit-learn, nlp, cv, machine learning, python, bioinformatics",Machine Learning,Software Developer
Graduate_286,"pytorch, bioinformatics, cv",Biology,AI Researcher
Graduate_287,"python, java, deep learning",Chemistry,Research Scientist
Graduate_288,"statistics, bioinformatics, deep learning, sql, cv, java",Cybersecurity,Postdoc
Graduate_289,"sql, nlp, java, python",Biology,Data Scientist
Graduate_290,"tensorflow, machine learning, cv, data mining",Environmental Science,Research Scientist
Graduate_291,"tensorflow, bioinformatics, c++",Environmental Science,Postdoc
Graduate_292,"cv, sql, tensorflow, c++, statistics",Environmental Science,Data Scientist
Graduate_293,"tensorflow, java, data mining, sql, machine learning",Physics,Other
Graduate_294,"deep learning, tensorflow, java, python, pytorch",Other,Other
Graduate_295,"deep learning, bioinformatics, statistics, sql, cv",Chemistry,Other
Graduate_296,"data mining, scikit-learn, python, sql, tensorflow, statistics",Physics,Other
Graduate_297,"statistics, java, tensorflow, scikit-learn, cv",Physics,Software Developer
Graduate_298,"data mining, c++, scikit-learn, nlp",Environmental Science,Data Scientist
Graduate_299,"python, bioinformatics, deep learning, data mining, c++",Robotics,Research Scientist
Graduate_300,"deep learning, cv, tensorflow",Mathematics,Software Developer
Graduate_301,"machine learning, statistics, cv, python",Physics,Other
Graduate_302,"scikit-learn, c++, statistics, pytorch, bioinformatics",Chemistry,AI Researcher
Graduate_303,"statistics, c++, machine learning",Physics,Research Scientist
Graduate_304,"pytorch, machine learning, tensorflow, nlp",Machine Learning,AI Researcher
Graduate_305,"machine learning, tensorflow, deep learning, sql",Robotics,Machine Learning Engineer
Graduate_306,"tensorflow, c++, data mining, python, scikit-learn, deep learning",Biology,AI Researcher
Graduate_307,"scikit-learn, machine learning, sql, nlp",Other,Machine Learning Engineer
Graduate_308,"c++, nlp, tensorflow, statistics",Other,Software Developer
Graduate_309,"data mining, bioinformatics, scikit-learn",Environmental Science,Other
Graduate_310,"tensorflow, deep learning, bioinformatics, java, pytorch, scikit-learn",Machine Learning,Other
Graduate_311,"data mining, pytorch, c++, deep learning, python, statistics",Cybersecurity,Data Scientist
Graduate_312,"bioinformatics, pytorch, machine learning, sql",Environmental Science,Postdoc
Graduate_313,"java, data mining, nlp",AI & NLP,Postdoc
Graduate_314,"java, nlp, statistics",Biology,Machine Learning Engineer
Graduate_315,"c++, sql, statistics, java, bioinformatics, cv",Chemistry,Software Developer
Graduate_316,"c++, deep learning, bioinformatics, machine learning",AI & NLP,Postdoc
Graduate_317,"statistics, cv, c++, java, machine learning, data mining",Machine Learning,Machine Learning Engineer
Graduate_318,"sql, python, nlp, deep learning, c++, statistics",Biology,Software Developer
Graduate_319,"bioinformatics, deep learning, scikit-learn, c++, machine learning",Mathematics,Other
Graduate_320,"machine learning, deep learning, sql, bioinformatics, tensorflow, cv",Mathematics,Machine Learning Engineer
Graduate_321,"machine learning, scikit-learn, java",Environmental Science,Machine Learning Engineer
Graduate_322,"statistics, cv, bioinformatics, pytorch",AI & NLP,Machine Learning Engineer
Graduate_323,"statistics, deep learning, bioinformatics",Mathematics,Research Scientist
Graduate_324,"sql, data mining, deep learning",Chemistry,Postdoc
Graduate_325,"python, data mining, sql",Cybersecurity,Postdoc
Graduate_326,"statistics, scikit-learn, sql, data mining",Physics,Software Developer
Graduate_327,"sql, bioinformatics, nlp, c++",Physics,Software Developer
Graduate_328,"cv, sql, bioinformatics, c++, tensorflow",Environmental Science,Other
Graduate_329,"pytorch, bioinformatics, java, machine learning",Chemistry,Data Scientist
Graduate_330,"deep learning, bioinformatics, pytorch, java, python",Biology,Data Scientist
Graduate_331,"scikit-learn, bioinformatics, python, machine learning",Physics,Other
Graduate_332,"cv, pytorch, nlp",Robotics,Other
Graduate_333,"data mining, pytorch, sql, tensorflow, cv",Physics,Research Scientist
Graduate_334,"bioinformatics, c++, cv, java",Physics,Research Scientist
Graduate_335,"nlp, statistics, tensorflow",Physics,Other
